Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:SBW,"Shekel Brainweigh Limited (ASX:SBW)",https://www.listcorp.com/asx/sbw/shekel-brainweigh,"	18381000",0.11,-0.01,-8.33,"Information Technology"
ASX:GTI,"Gratifii Limited (ASX:GTI)",https://www.listcorp.com/asx/gti/gratifii-limited,"	18312800",0.03,0.00,0,"Information Technology"
ASX:ACU,"Acumentis Group Limited (ASX:ACU)",https://www.listcorp.com/asx/acu/acumentis-group-limited,"	18285600",0.115,0.00,0,"Real Estate"
ASX:DM1,"Desert Metals Limited (ASX:DM1)",https://www.listcorp.com/asx/dm1/desert-metals-limited,"	18200000",0.515,-0.00,-0.96,Materials
ASX:ABX,"Australian Bauxite Limited (ASX:ABX)",https://www.listcorp.com/asx/abx/australian-bauxite,"	18180400",0.1,0.00,0,Materials
ASX:AQD,"AusQuest Limited (ASX:AQD)",https://www.listcorp.com/asx/aqd/ausquest,"	18110200",0.022,0.00,0,Materials
ASX:KMT,"Kopore Metals Limited (ASX:KMT)",https://www.listcorp.com/asx/kmt/kopore-metals-limited,"	18070900",0.029,0.00,3.57,Materials
ASX:QEM,"QEM Limited (ASX:QEM)",https://www.listcorp.com/asx/qem/qem-limited,"	18000000",0.18,0.00,0,Materials
ASX:SCI,"Silver City Minerals (ASX:SCI)",https://www.listcorp.com/asx/sci/silver-city-minerals,"	17954500",0.033,0.00,3.12,Materials
ASX:OGA,"Ocean Grown Abalone Limited (ASX:OGA)",https://www.listcorp.com/asx/oga/ocean-grown-abalone-limited,"	17866100",0.087,-0.00,-2.25,"Consumer Staples"
ASX:ZGL,"Zicom Group (ASX:ZGL)",https://www.listcorp.com/asx/zgl/zicom,"	17805500",0.081,-0.00,-1.22,Industrials
ASX:MCM,"MC Mining Limited (ASX:MCM)",https://www.listcorp.com/asx/mcm/mc-mining-limited,"	17758200",0.115,0.00,0,Energy
ASX:CAZ,"Cazaly Resources Limited (ASX:CAZ)",https://www.listcorp.com/asx/caz/cazaly-resources,"	17739000",0.05,0.00,4.17,Materials
ASX:TRN,"Torrens Mining Limited (ASX:TRN)",https://www.listcorp.com/asx/trn/torrens-mining-limited,"	17735900",0.245,-0.02,-5.77,Materials
ASX:SHG,"Singular Health Group Limited (ASX:SHG)",https://www.listcorp.com/asx/shg/singular-health-group-limited,"	17690700",0.29,-0.00,-1.69,"Health Care"
ASX:BUX,"Buxton Resources Limited (ASX:BUX)",https://www.listcorp.com/asx/bux/buxton-resources,"	17687200",0.115,-0.02,-11.54,Materials
ASX:OLL,"OpenLearning Limited (ASX:OLL)",https://www.listcorp.com/asx/oll/openlearning-limited,"	17615200",0.125,0.00,0,"Information Technology"
ASX:QML,"Qmines Limited (ASX:QML)",https://www.listcorp.com/asx/qml/qmines-limited,"	17579000",0.42,0.04,10.53,Materials
ASX:DDD,"3D Resources (ASX:DDD)",https://www.listcorp.com/asx/ddd/3d-resources,"	17461700",0.0045,0.00,0,Materials
ASX:TPO,"Tian Poh Resources Limited (ASX:TPO)",https://www.listcorp.com/asx/tpo/tian-poh-resources-limited,"	17393100",0.045,0.00,0,Materials
ASX:SCN,"Scorpion Minerals Limited (ASX:SCN)",https://www.listcorp.com/asx/scn/scorpion-minerals-limited,"	17378800",0.068,-0.00,-2.86,Materials
ASX:AQX,"Alice Queen Limited (ASX:AQX)",https://www.listcorp.com/asx/aqx/alice-queen-limited,"	17312200",0.015,0.00,7.14,Materials
ASX:MKL,"Mighty Kingdom Limited (ASX:MKL)",https://www.listcorp.com/asx/mkl/mighty-kingdom-limited,"	17303100",0.185,0.01,2.78,"Communication Services"
ASX:WNR,"Wingara AG Limited (ASX:WNR)",https://www.listcorp.com/asx/wnr/wingara-ag-limited,"	17261700",0.13,0.00,0,"Consumer Staples"
ASX:ADV,"Ardiden Limited (ASX:ADV)",https://www.listcorp.com/asx/adv/ardiden-limited,"	17194800",0.0085,0.00,6.25,Materials
ASX:VIG,"Victor Group (ASX:VIG)",https://www.listcorp.com/asx/vig/victor-group,"	17166800",0.03,0.00,0,"Information Technology"
ASX:AEE,"Aura Energy (ASX:AEE)",https://www.listcorp.com/asx/aee/aura-energy,"	17157700",0.0433316,0.00,0,Energy
ASX:IMPQ,"Einvest Future Impact Small Caps Fund (ASX:IMPQ)",https://www.listcorp.com/asx/impq/einvest-future-impact-small-caps-fund,"	17157700",5.7,0.04,0.71,Financials
ASX:JXT,"Jaxsta Ltd (ASX:JXT)",https://www.listcorp.com/asx/jxt/jaxsta-ltd,"	17151900",0.057,0.00,0,"Information Technology"
ASX:ODM,"Odin Metals Limited (ASX:ODM)",https://www.listcorp.com/asx/odm/odin-metals-limited,"	17151100",0.039,0.00,2.63,Materials
ASX:SIX,"Sprintex Limited (ASX:SIX)",https://www.listcorp.com/asx/six/sprintex,"	17117700",0.073,-0.01,-8.75,"Consumer Discretionary"
ASX:BOA,"Boadicea Resources (ASX:BOA)",https://www.listcorp.com/asx/boa/boadicea-resources,"	17094000",0.22,0.00,0,Materials
ASX:JDR,"Jadar Resources Limited (ASX:JDR)",https://www.listcorp.com/asx/jdr/jadar-resources-limited,"	17093600",0.024,0.00,0,Materials
ASX:MPR,"MPower Group Limited (ASX:MPR)",https://www.listcorp.com/asx/mpr/mpower-group-limited,"	17055500",0.078,0.00,0,Financials
ASX:CXM,"Centrex Metals (ASX:CXM)",https://www.listcorp.com/asx/cxm/centrex-metals,"	16900500",0.046,0.00,0,Materials
